"","3Fr","Alk","Col","Dia","Geb","Hag","Hus","Mul","Odi","Sav","Sel","Wis","Dts","Ros","Ane","670780204","total","mean","hosp"
"2014-12-18",40,45,174,78,32,116,306,162,0,84,2,26,26,17,51,3,1162,72.625,203
"2014-12-19",36,51,206,82,43,126,320,184,0,71,79,36,26,22,47,0,1329,83.0625,250
"2014-12-20",48,47,192,79,35,110,299,205,0,104,85,29,20,15,48,5,1321,82.5625,197
"2014-12-21",45,42,184,73,42,131,297,195,0,85,89,28,15,19,37,5,1287,80.4375,174
"2014-12-22",58,49,221,78,29,122,298,202,0,105,88,22,33,16,0,0,1321,82.5625,230
"2014-12-23",39,48,156,78,43,116,267,197,0,90,82,31,24,21,0,1,1193,74.5625,187
"2014-12-24",41,46,178,85,28,126,290,175,0,77,71,27,15,23,0,1,1183,73.9375,214
"2014-12-25",41,33,178,75,42,119,298,168,0,98,5,39,10,17,0,3,1126,70.375,206
"2014-12-26",57,54,229,73,51,161,299,242,0,118,97,29,15,13,0,0,1438,89.875,257
"2014-12-27",51,45,223,97,40,145,362,205,0,103,103,46,15,16,0,2,1453,90.8125,302
"2014-12-28",53,35,163,80,36,105,290,168,0,62,83,29,21,7,0,2,1134,70.875,193
"2014-12-29",60,63,201,92,60,185,300,225,0,111,88,38,33,21,0,1,1478,92.375,255
"2014-12-30",43,59,207,97,44,107,315,193,0,87,92,35,21,23,0,3,1326,82.875,261
"2014-12-31",47,62,183,81,43,125,249,167,0,89,88,35,17,6,0,3,1195,74.6875,222
